cpu,ram,disk,network,label
7.88,37.93,26.99,117.77,0
19.37,27.36,47.08,68.96,0
22.91,47.22,37.3,177.43,0
7.18,16.8,16.02,81.8,0
35.78,33.76,45.54,104.8,0
29.91,31.39,59.75,113.68,0
46.06,41.88,47.23,191.56,0
39.54,45.15,51.49,123.69,0
14.3,25.82,27.38,10.0,0
41.9,74.19,61.67,213.51,0
9.93,36.14,55.62,133.18,0
46.24,60.87,50.49,234.79,0
35.31,42.27,53.78,181.81,0
24.24,31.95,47.75,143.16,0
34.51,59.27,33.94,173.47,0
86.25,83.32,91.95,4682.61,1
86.95,54.47,39.56,3009.2,1
22.34,39.23,42.75,150.4,0
39.92,52.03,55.52,182.43,0
33.03,59.33,40.44,161.66,0
22.01,31.33,26.34,195.53,0
28.05,47.22,58.33,184.15,0
29.57,36.92,52.55,124.5,0
26.35,45.3,40.15,198.63,0
22.2,40.62,53.48,101.0,0
7.68,21.4,39.92,30.38,0
94.68,50.7,15.68,845.32,1
80.17,62.36,45.87,313.39,0
19.04,87.13,35.73,116.48,1
25.12,8.15,38.83,78.96,0
50.57,55.21,50.52,214.42,0
39.17,48.63,40.53,55.55,0
25.41,40.32,34.74,180.9,0
10.96,32.13,22.29,52.87,0
72.95,82.39,68.32,668.42,1
33.37,50.27,45.22,139.17,0
32.52,40.64,38.53,168.16,0
35.14,33.04,45.79,81.01,0
27.91,31.65,18.37,129.01,0
32.9,27.32,28.84,125.03,0
44.47,39.43,30.55,149.48,0
43.08,39.01,50.03,174.13,0
0.57,23.61,21.45,93.96,0
22.2,32.57,28.98,194.7,0
31.53,40.68,53.42,160.87,0
96.02,42.17,38.39,94.56,1
37.71,64.79,92.2,164.37,1
19.57,43.16,60.61,161.6,0
29.74,34.61,51.78,140.0,0
12.79,24.55,37.08,143.91,0
26.15,38.22,39.88,184.33,0
88.27,100.0,92.2,4444.4,1
100.0,38.1,31.0,157.3,1
34.8,43.49,90.02,221.98,1
17.99,30.75,44.7,87.05,0
41.34,43.49,51.11,168.96,0
23.99,34.11,70.88,175.17,0
28.26,42.16,51.4,70.19,0
57.03,56.73,74.67,235.27,0
27.19,45.28,45.61,122.91,0
27.97,43.88,30.41,192.37,0
0.0,100.0,89.23,105.97,1
23.54,39.7,45.77,148.08,0
38.23,40.44,40.58,205.9,0
10.45,15.96,29.11,114.57,0
41.9,22.62,41.39,178.28,0
84.55,88.11,100.0,5541.58,1
33.57,28.5,46.61,168.61,0
18.13,31.32,91.61,118.58,1
100.0,26.79,29.38,2268.2,1
30.5,46.11,44.28,149.48,0
49.14,44.32,54.46,186.3,0
27.98,30.34,24.36,139.62,0
85.92,81.05,54.43,94.59,1
32.17,54.79,53.8,163.15,0
20.91,28.51,33.01,72.57,0
84.17,35.48,80.22,2967.16,1
22.64,23.08,64.36,113.31,0
45.81,44.11,48.48,143.49,0
37.01,40.7,36.94,47.11,0
14.19,31.17,51.57,156.74,0
82.04,30.79,23.68,2127.06,1
91.56,55.31,54.54,174.66,1
28.9,37.56,37.8,162.99,0
21.34,27.29,37.3,138.08,0
19.22,48.34,35.79,122.55,0
26.32,90.14,85.06,202.25,1
34.38,42.26,44.3,78.39,0
35.9,51.13,56.74,173.09,0
52.41,61.92,70.29,234.45,0
23.39,27.27,36.47,5971.04,1
85.68,51.05,61.11,1965.3,1
23.56,45.92,52.43,43.93,0
36.36,51.78,51.82,231.61,0
24.35,40.36,42.79,132.49,0
26.61,30.03,43.17,159.57,0
32.73,38.73,38.43,178.29,0
33.97,32.38,29.45,39.01,0
